bottleneck_id,latitude,longitude,route_segment,distributor_network,estimated_demand_kw,grid_status
FRIC_279,39.478168,-2.105049,A-3,i-DE,300,Congested
FRIC_280,39.862127,-2.56575,A-3,i-DE,300,Congested
FRIC_281,40.064136,-3.079574,A-3,i-DE,300,Congested
FRIC_282,40.347643,-3.544926,A-3,i-DE,300,Congested
FRIC_283,40.35689,-3.554414,A-3,i-DE,300,Congested
FRIC_284,40.18867,-3.29889,A-3,i-DE,300,Congested
FRIC_285,40.354476,-3.550787,A-3,i-DE,300,Congested
FRIC_286,39.671853,-2.376482,A-3,i-DE,300,Congested
FRIC_287,37.941346,-1.150298,A-30,i-DE,300,Congested
FRIC_288,38.151581,-1.283386,A-30,i-DE,300,Congested
FRIC_289,38.339574,-1.502001,A-30,i-DE,300,Congested
FRIC_290,37.865219,-1.121136,A-30,i-DE,300,Congested
FRIC_291,38.237482,-3.518569,A-301,Endesa,300,Congested
FRIC_292,38.024389,-3.777363,A-302,Endesa,300,Congested
FRIC_293,38.178896,-3.696195,A-303,Endesa,300,Congested
FRIC_294,37.50436,-4.641956,A-304,Endesa,300,Congested
FRIC_295,37.622299,-4.300926,A-305,Endesa,300,Congested
FRIC_296,37.870551,-4.803835,A-3050,Endesa,300,Congested
FRIC_297,37.843817,-4.799705,A-3051,Endesa,300,Congested
FRIC_298,37.713326,-4.866215,A-3052,Endesa,300,Congested
FRIC_299,37.879803,-4.207326,A-306,Endesa,300,Congested
FRIC_300,37.673479,-4.558628,A-307,Endesa,300,Congested
FRIC_301,38.096858,-4.870657,A-3075,Endesa,300,Congested
FRIC_302,37.411971,-3.356558,A-308,Endesa,300,Congested
FRIC_303,38.008617,-4.380869,A-309,Endesa,300,Congested
FRIC_304,39.386874,-2.203598,A-31,i-DE,300,Congested
FRIC_305,37.986984,-4.278402,A-3101,Endesa,300,Congested
FRIC_306,38.031595,-4.064219,A-311,Endesa,300,Congested
FRIC_307,38.094618,-3.679766,A-312,Endesa,300,Congested
FRIC_308,37.592981,-4.299316,A-3128,Endesa,300,Congested
FRIC_309,37.480608,-4.462593,A-3129,Endesa,300,Congested
FRIC_310,37.398361,-4.582018,A-3131,Endesa,300,Congested
FRIC_311,37.398622,-4.583608,A-3132,Endesa,300,Congested
FRIC_312,36.232612,-5.949619,A-314,Endesa,600,Moderate
FRIC_313,37.509138,-2.805621,A-315,Endesa,300,Congested
FRIC_314,37.983664,-3.487134,A-316,Endesa,300,Congested
FRIC_315,37.835986,-3.607166,A-316,Endesa,300,Congested
FRIC_316,38.007075,-3.429247,A-316,Endesa,300,Congested
