location_id,latitude,longitude,route_segment,n_chargers_proposed,grid_status
IBE_1113,38.933266,-0.141401,N-332,2,Congested
IBE_1114,37.727454,-0.861689,N-332,2,Congested
IBE_1115,38.980042,-0.184539,N-332A,2,Congested
IBE_1116,39.179823,-0.290167,N-332R,2,Congested
IBE_1117,38.995557,-0.166852,N-337,2,Congested
IBE_1118,38.993892,-0.162849,N-337a,2,Congested
IBE_1119,37.424967,-5.903924,N-339,2,Congested
IBE_1120,36.700754,-3.442823,N-340,2,Congested
IBE_1121,39.999793,-0.085839,N-340,2,Congested
IBE_1122,41.150064,1.364234,N-340,6,Sufficient
IBE_1123,40.123359,0.144324,N-340,2,Congested
IBE_1124,39.71934,-0.248255,N-340,2,Congested
IBE_1125,39.947983,-0.086658,N-340,2,Congested
IBE_1126,41.310837,1.639437,N-340,6,Sufficient
IBE_1127,36.251319,-6.002875,N-340,4,Moderate
IBE_1128,40.178626,0.169083,N-340,2,Congested
IBE_1129,41.147852,1.358802,N-340,6,Sufficient
IBE_1130,36.577605,-4.570653,N-340,2,Congested
IBE_1131,36.737587,-3.727961,N-340,2,Congested
IBE_1132,36.355732,-6.100631,N-340,4,Moderate
IBE_1133,36.715422,-4.287509,N-340A,6,Sufficient
IBE_1134,36.744077,-4.022143,N-340A,6,Sufficient
IBE_1135,36.716277,-4.303384,N-340A,6,Sufficient
IBE_1136,36.722164,-4.235197,N-340R,6,Sufficient
IBE_1137,37.594897,-1.865143,N-342,6,Sufficient
IBE_1138,37.594947,-2.40753,N-342A,2,Congested
IBE_1139,37.569839,-0.942545,N-343,2,Congested
IBE_1140,37.594868,-0.916169,N-343A,2,Congested
IBE_1141,38.012195,-1.223171,N-344,2,Congested
IBE_1142,38.464958,-1.323087,N-344,2,Congested
IBE_1143,38.611259,-1.138261,N-344a,6,Sufficient
IBE_1144,37.595004,-0.874523,N-345,2,Congested
IBE_1145,36.754255,-6.075372,N-346,2,Congested
IBE_1146,36.734363,-3.524461,N-347GR,2,Congested
IBE_1147,36.721956,-6.083324,N-349,2,Congested
IBE_1148,36.125439,-5.443207,N-350,2,Congested
IBE_1149,36.168746,-5.369455,N-351,2,Congested
IBE_1150,35.872411,-5.343816,N-352,2,Congested
IBE_1151,36.691761,-4.456086,N-354,6,Sufficient
IBE_1152,36.14337,-5.441031,N-357,2,Congested
IBE_1153,35.874417,-5.346552,N-362,2,Congested
IBE_1154,40.310683,-3.483245,N-3A,2,Congested
IBE_1155,36.77004,-6.063127,N-4,2,Congested
IBE_1156,37.276858,-5.933333,N-4,2,Congested
IBE_1157,37.143653,-5.91904,N-4,2,Congested
IBE_1158,40.06432,-2.85303,N-400,2,Congested
IBE_1159,40.073114,-2.165917,N-400,2,Congested
IBE_1160,39.9407,-3.748572,N-400,2,Congested
IBE_1161,40.023546,-2.650955,N-400,2,Congested
IBE_1162,40.056495,-2.793758,N-400A,2,Congested
IBE_1163,39.525671,-3.844618,N-401,2,Congested
IBE_1164,39.113685,-3.896675,N-401,2,Congested
IBE_1165,39.183738,-3.837578,N-401A,4,Moderate
IBE_1166,40.248104,-4.375012,N-403,2,Congested
IBE_1167,39.976252,-4.258974,N-403,2,Congested
IBE_1168,39.867991,-4.026486,N-403A,2,Congested
IBE_1169,38.738182,-4.071943,N-420,2,Congested
IBE_1170,39.646916,-2.559106,N-420,6,Sufficient
IBE_1171,40.795103,-0.827713,N-420,2,Congested
IBE_1172,38.697237,-4.106845,N-420,2,Congested
IBE_1173,39.533204,-2.805002,N-420,2,Congested
IBE_1174,38.321037,-4.323529,N-420,2,Congested
IBE_1175,39.907395,-2.248353,N-420,6,Sufficient
IBE_1176,40.73579,-0.846465,N-420,2,Congested
IBE_1177,41.10117,0.522707,N-420,2,Congested
IBE_1178,41.044122,0.246201,N-420,2,Congested
IBE_1179,38.742006,-4.075007,N-420,2,Congested
IBE_1180,41.176701,0.909788,N-420A,2,Congested
IBE_1181,41.000734,0.122666,N-420B,2,Congested
IBE_1182,41.136653,1.145495,N-420R,6,Sufficient
IBE_1183,39.058182,-3.631089,N-430,6,Sufficient
IBE_1184,38.901893,-3.066137,N-430,2,Congested
IBE_1185,38.975791,-2.885921,N-430,2,Congested
IBE_1186,38.99895,-3.874284,N-430,2,Congested
IBE_1187,39.017238,-3.818506,N-430A,2,Congested
IBE_1188,38.995573,-3.926872,N-430C,2,Congested
IBE_1189,37.325272,-7.060412,N-431,2,Congested
IBE_1190,37.230005,-7.365706,N-431A,2,Congested
IBE_1191,38.289493,-5.529641,N-432,2,Congested
IBE_1192,37.485723,-3.961504,N-432,2,Congested
IBE_1193,37.713079,-4.628396,N-432,2,Congested
IBE_1194,37.704068,-4.613974,N-432,2,Congested
IBE_1195,38.068356,-4.833914,N-432,2,Congested
IBE_1196,37.907222,-4.753525,N-432,2,Congested
IBE_1197,38.20367,-5.046,N-432A,2,Congested
IBE_1198,38.305455,-5.543247,N-432A,2,Congested
IBE_1199,37.884434,-6.5546,N-433,2,Congested
IBE_1200,37.955988,-6.959185,N-433,2,Congested
IBE_1201,37.898029,-6.732786,N-435,2,Congested
IBE_1202,37.451771,-6.804817,N-435,2,Congested
IBE_1203,38.080745,-6.691678,N-435A,2,Congested
IBE_1204,37.865898,-4.817849,N-437,2,Congested
IBE_1205,37.173327,-6.900334,N-442,6,Sufficient
IBE_1206,37.287135,-7.20773,N-444,2,Congested
IBE_1207,37.259772,-7.236988,N-445,2,Congested
IBE_1208,37.259024,-7.304815,N-446,2,Congested
IBE_1209,37.239228,-7.406764,N-447,2,Congested
IBE_1210,38.390736,-3.506524,N-4A,2,Congested
